,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 통계표ID :,DT_1C51,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 통계표명 :,경제활동별 지역내총생산,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 수록기간 :, ( 년 : 1985 ~ 2009 ),,,,,,,,,,,,,,,,,,,,,,,,,,,
* 조회기간 :,   [년] 2000 ~ 2008         ,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 출처 :,통계청 경제통계국 지역소득통계팀,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2011/06/24 09:20:29,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 단위 :,백만원,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시도별,경제활동별,2000 ,,,2001 ,,,2002 ,,,2003 ,,,2004 ,,,2005 ,,,2006 ,,,2007 ,,,2008 ,,
,,당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100)
,총부가가치(기초가격),"15,459,462 ","18,134,539 ",-,"16,244,001 ","18,440,618 ",-,"17,499,487 ","19,341,274 ",-,"19,408,287 ","20,666,513 ",-,"20,448,770 ","20,812,537 ",-,"21,071,814 ","21,071,814 ",-,"22,042,599 ","22,034,481 ",-,"23,780,106 ","23,118,351 ",-,"24,058,953 ","23,286,368 ",-
,농림어업,"1,281,685 ","1,358,011 ",-,"1,280,505 ","1,292,427 ",-,"1,422,107 ","1,334,736 ",-,"1,410,252 ","1,279,342 ",-,"1,449,559 ","1,316,153 ",-,"1,364,436 ","1,364,436 ",-,"1,371,761 ","1,392,446 ",-,"1,506,264 ","1,550,349 ",-,"1,257,142 ","1,534,015 ",-
,광업,"729,745 ","595,895 ",-,"538,383 ","593,345 ",-,"605,988 ","603,639 ",-,"619,420 ","628,060 ",-,"600,183 ","689,995 ",-,"652,095 ","652,095 ",-,"653,056 ","637,585 ",-,"744,296 ","709,225 ",-,"796,104 ","774,820 ",-
,제조업,"2,122,429 ","2,386,312 ",-,"2,193,744 ","2,403,476 ",-,"2,113,186 ","2,504,272 ",-,"2,231,536 ","2,660,219 ",-,"2,536,777 ","2,559,467 ",-,"2,444,825 ","2,444,825 ",-,"2,283,104 ","2,590,332 ",-,"2,475,520 ","2,633,818 ",-,"2,591,998 ","2,780,472 ",-
,　기초소재형,"891,030 ","771,654 ",-,"1,122,161 ","815,997 ",-,"1,084,016 ","902,474 ",-,"1,147,183 ","1,102,785 ",-,"1,208,248 ","1,098,437 ",-,"1,155,770 ","1,155,770 ",-,"1,033,267 ","1,207,923 ",-,"1,046,785 ","1,253,456 ",-,"1,082,889 ","1,245,177 ",-
,　가공조립형,"517,218 ","443,581 ",-,"465,261 ","407,291 ",-,"423,712 ","426,185 ",-,"437,509 ","525,490 ",-,"514,926 ","530,897 ",-,"543,499 ","543,499 ",-,"541,055 ","604,827 ",-,"634,710 ","551,983 ",-,"733,479 ","690,835 ",-
,　생활관련형,"714,181 ","1,171,077 ",-,"606,322 ","1,180,188 ",-,"605,458 ","1,175,613 ",-,"646,844 ","1,031,944 ",-,"813,603 ","930,133 ",-,"745,556 ","745,556 ",-,"708,782 ","777,582 ",-,"794,025 ","828,379 ",-,"775,630 ","844,460 ",-
,"전기,가스,증기및수도사업","426,640 ","368,602 ",-,"406,036 ","346,336 ",-,"400,182 ","351,330 ",-,"440,479 ","395,447 ",-,"431,441 ","412,116 ",-,"362,354 ","362,354 ",-,"527,569 ","522,340 ",-,"543,878 ","530,116 ",-,"389,311 ","539,475 ",-
,건설업,"1,603,466 ","2,024,044 ",-,"1,634,795 ","2,023,816 ",-,"1,901,892 ","2,164,272 ",-,"2,639,485 ","2,789,357 ",-,"2,572,722 ","2,620,523 ",-,"2,530,116 ","2,530,116 ",-,"2,749,511 ","2,711,058 ",-,"2,899,276 ","2,774,197 ",-,"2,516,879 ","2,364,380 ",-
,도매및소매업,"1,049,495 ","1,256,047 ",-,"1,081,593 ","1,241,511 ",-,"1,155,349 ","1,311,474 ",-,"1,212,388 ","1,302,198 ",-,"1,312,224 ","1,332,091 ",-,"1,387,472 ","1,387,472 ",-,"1,468,998 ","1,454,255 ",-,"1,622,525 ","1,583,483 ",-,"1,679,995 ","1,597,673 ",-
,운수업,"712,979 ","784,776 ",-,"774,197 ","837,936 ",-,"848,169 ","894,001 ",-,"896,907 ","909,734 ",-,"921,506 ","880,154 ",-,"978,149 ","978,149 ",-,"1,021,606 ","1,039,520 ",-,"1,162,557 ","1,157,059 ",-,"1,230,124 ","1,221,297 ",-
,숙박및음식점업,"711,164 ","750,259 ",-,"603,108 ","606,502 ",-,"524,227 ","555,634 ",-,"673,513 ","683,728 ",-,"745,629 ","754,232 ",-,"754,663 ","754,663 ",-,"800,485 ","775,452 ",-,"852,253 ","804,003 ",-,"929,149 ","819,434 ",-
,정보및통신업,"361,164 ","308,302 ",-,"457,245 ","384,307 ",-,"505,576 ","443,244 ",-,"593,796 ","540,084 ",-,"538,690 ","533,466 ",-,"554,698 ","554,698 ",-,"550,325 ","558,063 ",-,"546,554 ","576,594 ",-,"494,639 ","551,945 ",-
,금융및보험업,"617,467 ","763,562 ",-,"654,509 ","708,857 ",-,"906,205 ","943,771 ",-,"948,480 ","962,166 ",-,"919,541 ","960,225 ",-,"922,987 ","922,987 ",-,"916,380 ","938,521 ",-,"983,785 ","1,029,779 ",-,"1,030,102 ","1,040,845 ",-
,부동산업및임대업,"1,152,899 ","1,188,200 ",-,"1,164,291 ","1,238,499 ",-,"1,198,661 ","1,275,337 ",-,"1,233,816 ","1,293,045 ",-,"1,279,660 ","1,309,539 ",-,"1,332,434 ","1,332,434 ",-,"1,389,185 ","1,360,003 ",-,"1,437,616 ","1,361,273 ",-,"1,497,453 ","1,418,742 ",-
,사업서비스업,"248,682 ","339,115 ",-,"262,636 ","335,228 ",-,"282,983 ","346,746 ",-,"359,661 ","401,070 ",-,"382,743 ","400,035 ",-,"427,767 ","427,767 ",-,"472,112 ","451,228 ",-,"498,088 ","455,981 ",-,"562,168 ","477,057 ",-
,"공공행정,국방및사회보장행정","2,583,547 ","3,469,728 ",-,"2,804,832 ","3,498,032 ",-,"3,074,383 ","3,549,387 ",-,"3,313,185 ","3,635,952 ",-,"3,546,750 ","3,680,965 ",-,"3,847,412 ","3,847,412 ",-,"4,113,008 ","3,993,908 ",-,"4,364,488 ","4,096,802 ",-,"4,644,443 ","4,184,368 ",-
,교육서비스업,"1,020,559 ","1,402,778 ",-,"1,160,272 ","1,475,326 ",-,"1,244,549 ","1,489,988 ",-,"1,407,023 ","1,587,783 ",-,"1,536,323 ","1,630,007 ",-,"1,689,886 ","1,689,886 ",-,"1,756,424 ","1,694,101 ",-,"1,920,669 ","1,770,822 ",-,"2,036,782 ","1,794,310 ",-
,보건업및사회복지서비스업,"361,832 ","554,140 ",-,"466,028 ","520,571 ",-,"497,168 ","561,562 ",-,"544,899 ","593,000 ",-,"599,321 ","626,405 ",-,"690,526 ","690,526 ",-,"759,073 ","724,919 ",-,"860,939 ","782,689 ",-,"928,433 ","812,803 ",-
,"예술,스포츠및여가관련서비스업","163,766 ","203,849 ",-,"413,295 ","527,678 ",-,"448,411 ","584,058 ",-,"494,178 ","577,958 ",-,"647,900 ","670,481 ",-,"659,672 ","659,672 ",-,"698,437 ","691,392 ",-,"815,086 ","778,879 ",-,"897,081 ","843,790 ",-
,기타서비스업,"311,943 ","380,919 ",-,"348,532 ","406,771 ",-,"370,451 ","427,823 ",-,"389,269 ","427,370 ",-,"427,801 ","436,683 ",-,"472,322 ","472,322 ",-,"511,565 ","499,358 ",-,"546,312 ","523,282 ",-,"577,150 ","530,942 ",-
충청북도,지역내총생산(시장가격),"19,841,513 ","22,060,307 ",79.4 ,"20,502,666 ","22,343,425 ",80.3 ,"22,126,439 ","23,894,225 ",87.0 ,"23,591,980 ","24,819,200 ",90.4 ,"26,212,569 ","26,691,491 ",99.3 ,"26,720,519 ","26,720,519 ",100.0 ,"27,997,385 ","27,766,109 ",103.9 ,"30,000,748 ","29,380,374 ",110.0 ,"30,104,794 ","29,962,740 ",112.2 
,순생산물세,"1,813,511 ","1,828,979 ",-,"1,906,161 ","1,828,292 ",-,"2,223,335 ","2,194,638 ",-,"2,391,683 ","2,393,128 ",-,"3,200,536 ","3,203,552 ",-,"3,016,171 ","3,016,171 ",-,"2,628,134 ","2,579,353 ",-,"2,695,463 ","2,658,120 ",-,"2,884,829 ","2,832,549 ",-
,총부가가치(기초가격),"18,028,002 ","20,231,328 ",-,"18,596,505 ","20,515,133 ",-,"19,903,104 ","21,699,587 ",-,"21,200,297 ","22,426,072 ",-,"23,012,033 ","23,487,939 ",-,"23,704,348 ","23,704,348 ",-,"25,369,251 ","25,186,756 ",-,"27,305,285 ","26,722,254 ",-,"27,219,965 ","27,130,191 ",-
,농림어업,"1,699,263 ","1,711,661 ",-,"1,517,461 ","1,535,722 ",-,"1,612,104 ","1,597,676 ",-,"1,592,053 ","1,504,186 ",-,"1,603,198 ","1,500,528 ",-,"1,524,988 ","1,524,988 ",-,"1,479,212 ","1,494,013 ",-,"1,411,173 ","1,491,076 ",-,"1,303,522 ","1,674,303 ",-
,광업,"159,607 ","220,126 ",-,"182,023 ","224,129 ",-,"151,688 ","248,131 ",-,"161,900 ","278,109 ",-,"182,606 ","244,452 ",-,"202,959 ","202,959 ",-,"190,243 ","196,242 ",-,"206,365 ","204,840 ",-,"212,983 ","212,681 ",-
,제조업,"7,247,065 ","7,428,426 ",-,"7,135,250 ","7,536,011 ",-,"7,727,415 ","8,334,589 ",-,"7,987,749 ","8,509,720 ",-,"9,261,639 ","9,438,068 ",-,"8,768,918 ","8,768,918 ",-,"9,552,533 ","9,608,875 ",-,"10,394,298 ","10,402,053 ",-,"10,083,524 ","10,712,422 ",-
,　기초소재형,"2,782,638 ","3,353,789 ",-,"2,829,645 ","3,612,833 ",-,"3,279,231 ","3,815,302 ",-,"3,561,038 ","3,881,148 ",-,"3,468,866 ","3,727,014 ",-,"3,402,471 ","3,402,471 ",-,"3,621,340 ","3,774,501 ",-,"3,988,003 ","4,149,244 ",-,"3,987,850 ","4,115,086 ",-
,　가공조립형,"3,381,957 ","2,800,472 ",-,"3,234,406 ","2,479,920 ",-,"3,253,210 ","3,053,686 ",-,"3,271,357 ","3,358,541 ",-,"4,627,932 ","4,458,306 ",-,"4,139,411 ","4,139,411 ",-,"4,738,297 ","4,598,322 ",-,"4,997,910 ","4,952,576 ",-,"4,539,719 ","5,159,173 ",-
,　생활관련형,"1,082,470 ","1,274,165 ",-,"1,071,199 ","1,443,258 ",-,"1,194,974 ","1,465,601 ",-,"1,155,354 ","1,270,031 ",-,"1,164,841 ","1,252,748 ",-,"1,227,036 ","1,227,036 ",-,"1,192,896 ","1,236,052 ",-,"1,408,385 ","1,300,233 ",-,"1,555,955 ","1,438,163 ",-
,"전기,가스,증기및수도사업","340,820 ","348,256 ",-,"375,833 ","366,536 ",-,"369,547 ","368,194 ",-,"419,829 ","414,663 ",-,"439,420 ","445,387 ",-,"454,788 ","454,788 ",-,"454,189 ","445,583 ",-,"451,312 ","435,059 ",-,"374,114 ","379,576 ",-
,건설업,"1,366,401 ","1,725,431 ",-,"1,411,079 ","1,741,248 ",-,"1,367,231 ","1,576,091 ",-,"1,617,461 ","1,708,894 ",-,"1,607,855 ","1,638,126 ",-,"2,001,514 ","2,001,514 ",-,"2,273,370 ","2,240,269 ",-,"2,486,532 ","2,378,382 ",-,"2,212,965 ","2,077,046 ",-
,도매및소매업,"861,964 ","1,029,922 ",-,"950,001 ","1,091,569 ",-,"1,033,188 ","1,173,236 ",-,"1,098,921 ","1,182,487 ",-,"1,133,836 ","1,151,086 ",-,"1,199,138 ","1,199,138 ",-,"1,239,517 ","1,225,633 ",-,"1,358,117 ","1,329,736 ",-,"1,473,093 ","1,342,233 ",-
,운수업,"609,369 ","649,920 ",-,"720,191 ","763,272 ",-,"655,381 ","664,137 ",-,"715,829 ","710,680 ",-,"765,415 ","765,442 ",-,"859,090 ","859,090 ",-,"903,028 ","895,395 ",-,"1,075,992 ","1,037,096 ",-,"1,025,766 ","1,023,925 ",-
,숙박및음식점업,"451,782 ","556,153 ",-,"402,773 ","477,958 ",-,"477,854 ","538,096 ",-,"482,768 ","523,603 ",-,"500,523 ","512,127 ",-,"517,993 ","517,993 ",-,"555,972 ","537,791 ",-,"603,549 ","567,743 ",-,"623,034 ","587,384 ",-
,정보및통신업,"294,008 ","252,335 ",-,"403,877 ","337,311 ",-,"449,248 ","393,783 ",-,"504,307 ","456,963 ",-,"466,664 ","461,079 ",-,"479,285 ","479,285 ",-,"483,174 ","490,097 ",-,"480,148 ","508,133 ",-,"435,870 ","489,036 ",-
,금융및보험업,"540,971 ","664,349 ",-,"607,079 ","661,847 ",-,"825,529 ","861,654 ",-,"871,783 ","888,276 ",-,"837,918 ","881,645 ",-,"879,905 ","879,905 ",-,"889,451 ","910,958 ",-,"979,191 ","1,027,025 ",-,"1,040,738 ","1,050,197 ",-
,부동산업및임대업,"1,075,054 ","1,096,384 ",-,"1,089,360 ","1,128,256 ",-,"1,135,760 ","1,170,299 ",-,"1,186,549 ","1,205,573 ",-,"1,203,321 ","1,206,888 ",-,"1,249,030 ","1,249,030 ",-,"1,333,517 ","1,314,998 ",-,"1,391,197 ","1,325,016 ",-,"1,480,308 ","1,401,576 ",-
,사업서비스업,"277,398 ","388,173 ",-,"333,913 ","437,525 ",-,"299,842 ","379,435 ",-,"370,186 ","428,330 ",-,"397,692 ","431,342 ",-,"497,929 ","497,929 ",-,"556,720 ","529,090 ",-,"603,590 ","546,660 ",-,"680,542 ","567,670 ",-
,"공공행정,국방및사회보장행정","1,398,499 ","1,869,433 ",-,"1,525,900 ","1,894,703 ",-,"1,677,677 ","1,929,016 ",-,"1,819,791 ","1,991,549 ",-,"1,984,841 ","2,057,680 ",-,"2,179,152 ","2,179,152 ",-,"2,329,208 ","2,262,789 ",-,"2,471,304 ","2,318,410 ",-,"2,641,668 ","2,378,863 ",-
,교육서비스업,"890,902 ","1,194,009 ",-,"1,013,949 ","1,264,387 ",-,"1,134,525 ","1,344,106 ",-,"1,303,374 ","1,460,283 ",-,"1,408,183 ","1,492,032 ",-,"1,540,518 ","1,540,518 ",-,"1,647,470 ","1,589,151 ",-,"1,757,285 ","1,613,087 ",-,"1,873,299 ","1,639,942 ",-
,보건업및사회복지서비스업,"393,573 ","601,616 ",-,"460,073 ","511,918 ",-,"491,194 ","554,362 ",-,"504,672 ","548,498 ",-,"567,904 ","593,317 ",-,"642,184 ","642,184 ",-,"708,932 ","688,206 ",-,"787,232 ","729,509 ",-,"843,119 ","749,639 ",-
,"예술,스포츠및여가관련서비스업","97,337 ","115,621 ",-,"119,161 ","138,282 ",-,"126,655 ","147,887 ",-,"158,487 ","168,659 ",-,"190,592 ","196,670 ",-,"216,647 ","216,647 ",-,"236,644 ","232,438 ",-,"255,882 ","239,775 ",-,"294,759 ","270,938 ",-
,기타서비스업,"323,989 ","379,513 ",-,"348,582 ","404,459 ",-,"368,266 ","418,895 ",-,"404,638 ","445,599 ",-,"460,426 ","472,070 ",-,"490,310 ","490,310 ",-,"536,071 ","525,228 ",-,"592,118 ","568,654 ",-,"620,661 ","572,760 ",-
충청남도,지역내총생산(시장가격),"29,277,134 ","30,963,282 ",63.2 ,"30,843,153 ","31,816,724 ",65.0 ,"34,863,066 ","34,185,883 ",71.0 ,"39,251,085 ","38,783,631 ",81.1 ,"43,705,960 ","43,327,332 ",91.1 ,"47,497,309 ","47,497,309 ",100.0 ,"51,361,314 ","53,505,262 ",112.6 ,"55,148,397 ","57,563,405 ",120.6 ,"57,973,983 ","61,568,588 ",128.1 
,순생산물세,"3,179,824 ","2,932,997 ",-,"3,344,829 ","2,909,282 ",-,"3,924,643 ","3,485,588 ",-,"5,156,824 ","4,773,312 ",-,"5,690,967 ","5,426,483 ",-,"6,180,965 ","6,180,965 ",-,"6,734,509 ","7,034,057 ",-,"7,008,878 ","7,367,953 ",-,"7,336,569 ","7,398,825 ",-
,총부가가치(기초가격),"26,097,310 ","28,030,285 ",-,"27,498,324 ","28,907,442 ",-,"30,938,423 ","30,700,295 ",-,"34,094,261 ","34,010,319 ",-,"38,014,993 ","37,900,849 ",-,"41,316,344 ","41,316,344 ",-,"44,626,805 ","46,471,205 ",-,"48,139,519 ","50,195,452 ",-,"50,637,414 ","54,169,763 ",-
,농림어업,"3,526,895 ","3,431,904 ",-,"3,500,137 ","3,395,030 ",-,"3,365,060 ","3,283,301 ",-,"3,274,326 ","3,260,607 ",-,"3,645,214 ","3,410,406 ",-,"3,396,876 ","3,396,876 ",-,"3,412,165 ","3,527,418 ",-,"3,215,249 ","3,473,312 ",-,"3,199,384 ","3,887,845 ",-
,광업,"89,067 ","97,473 ",-,"95,462 ","95,174 ",-,"100,642 ","86,617 ",-,"131,289 ","86,761 ",-,"105,137 ","86,706 ",-,"108,344 ","108,344 ",-,"145,803 ","161,844 ",-,"125,384 ","119,719 ",-,"186,991 ","170,136 ",-
,제조업,"9,878,553 ","9,535,257 ",-,"9,962,757 ","9,636,186 ",-,"12,029,792 ","10,866,083 ",-,"13,239,196 ","12,651,876 ",-,"15,646,789 ","15,484,249 ",-,"17,790,206 ","17,790,206 ",-,"19,804,985 ","21,811,949 ",-,"21,940,548 ","24,585,899 ",-,"23,586,843 ","26,802,191 ",-
,　기초소재형,"3,647,751 ","4,274,830 ",-,"3,700,910 ","4,372,903 ",-,"4,616,968 ","4,584,755 ",-,"5,488,447 ","5,265,825 ",-,"6,485,047 ","6,021,767 ",-,"6,884,587 ","6,884,587 ",-,"7,403,003 ","7,687,862 ",-,"8,146,142 ","8,368,404 ",-,"9,709,010 ","8,785,935 ",-
,　가공조립형,"5,240,583 ","4,200,760 ",-,"5,353,035 ","4,163,407 ",-,"6,318,824 ","5,116,535 ",-,"6,528,229 ","6,090,438 ",-,"7,686,540 ","7,899,213 ",-,"9,372,983 ","9,372,983 ",-,"10,847,580 ","12,404,858 ",-,"12,184,871 ","14,510,746 ",-,"12,173,901 ","16,361,457 ",-
,　생활관련형,"990,219 ","1,059,667 ",-,"908,812 ","1,099,876 ",-,"1,094,000 ","1,164,793 ",-,"1,222,520 ","1,295,613 ",-,"1,475,202 ","1,563,269 ",-,"1,532,636 ","1,532,636 ",-,"1,554,402 ","1,719,229 ",-,"1,609,535 ","1,706,749 ",-,"1,703,932 ","1,654,799 ",-
,"전기,가스,증기및수도사업","1,315,779 ","1,131,912 ",-,"1,367,680 ","1,141,349 ",-,"2,173,829 ","1,618,810 ",-,"2,213,247 ","1,738,919 ",-,"1,808,236 ","1,649,194 ",-,"1,706,587 ","1,706,587 ",-,"1,733,090 ","1,782,267 ",-,"2,101,529 ","2,181,196 ",-,"1,259,301 ","2,588,978 ",-
,건설업,"1,983,944 ","2,505,336 ",-,"2,173,135 ","2,670,521 ",-,"2,043,130 ","2,340,347 ",-,"2,856,512 ","3,019,140 ",-,"3,507,023 ","3,573,488 ",-,"3,972,309 ","3,972,309 ",-,"4,159,943 ","4,093,899 ",-,"4,165,809 ","3,966,894 ",-,"4,732,738 ","4,422,401 ",-
,도매및소매업,"1,043,537 ","1,248,309 ",-,"1,164,678 ","1,341,937 ",-,"1,228,052 ","1,403,414 ",-,"1,341,007 ","1,448,585 ",-,"1,439,630 ","1,464,215 ",-,"1,532,155 ","1,532,155 ",-,"1,612,496 ","1,594,799 ",-,"1,737,813 ","1,696,003 ",-,"1,949,953 ","1,710,568 ",-
,운수업,"992,024 ","1,071,462 ",-,"1,003,055 ","1,073,847 ",-,"908,267 ","935,079 ",-,"981,787 ","986,236 ",-,"981,137 ","970,311 ",-,"1,182,818 ","1,182,818 ",-,"1,360,164 ","1,377,288 ",-,"1,475,148 ","1,452,278 ",-,"1,591,777 ","1,560,533 ",-
,숙박및음식점업,"487,837 ","546,571 ",-,"525,319 ","595,401 ",-,"557,784 ","644,739 ",-,"610,646 ","670,026 ",-,"673,762 ","686,402 ",-,"698,872 ","698,872 ",-,"743,662 ","719,323 ",-,"812,303 ","764,389 ",-,"834,935 ","787,300 ",-
,정보및통신업,"422,457 ","349,891 ",-,"513,980 ","428,848 ",-,"588,696 ","514,404 ",-,"640,051 ","581,386 ",-,"602,992 ","596,866 ",-,"626,168 ","626,168 ",-,"619,698 ","629,390 ",-,"613,445 ","649,338 ",-,"556,001 ","629,502 ",-
,금융및보험업,"606,910 ","758,661 ",-,"745,771 ","808,449 ",-,"1,033,159 ","1,074,589 ",-,"1,106,540 ","1,122,543 ",-,"1,114,364 ","1,162,759 ",-,"1,188,179 ","1,188,179 ",-,"1,204,128 ","1,240,081 ",-,"1,295,447 ","1,375,795 ",-,"1,372,028 ","1,381,361 ",-
,부동산업및임대업,"1,349,108 ","1,427,676 ",-,"1,369,137 ","1,481,856 ",-,"1,426,148 ","1,518,957 ",-,"1,519,743 ","1,572,095 ",-,"1,630,684 ","1,644,127 ",-,"1,716,603 ","1,716,603 ",-,"1,828,006 ","1,785,720 ",-,"1,950,385 ","1,829,896 ",-,"2,014,348 ","1,876,075 ",-
,사업서비스업,"388,799 ","535,746 ",-,"346,439 ","446,367 ",-,"374,078 ","463,694 ",-,"505,924 ","576,848 ",-,"567,050 ","604,800 ",-,"604,212 ","604,212 ",-,"665,105 ","635,317 ",-,"758,734 ","691,272 ",-,"808,462 ","685,589 ",-
,"공공행정,국방및사회보장행정","1,878,636 ","2,521,688 ",-,"2,081,446 ","2,594,575 ",-,"2,272,080 ","2,623,357 ",-,"2,470,072 ","2,708,673 ",-,"2,677,140 ","2,775,701 ",-,"2,915,022 ","2,915,022 ",-,"3,137,580 ","3,044,964 ",-,"3,341,161 ","3,134,375 ",-,"3,572,887 ","3,219,521 ",-
,교육서비스업,"1,208,833 ","1,625,322 ",-,"1,444,319 ","1,815,578 ",-,"1,595,805 ","1,890,215 ",-,"1,819,798 ","2,031,423 ",-,"2,057,505 ","2,170,142 ",-,"2,106,982 ","2,106,982 ",-,"2,238,087 ","2,156,211 ",-,"2,447,417 ","2,243,796 ",-,"2,614,078 ","2,284,793 ",-
,보건업및사회복지서비스업,"416,537 ","643,118 ",-,"554,242 ","618,382 ",-,"581,697 ","658,871 ",-,"612,926 ","668,578 ",-,"683,756 ","715,650 ",-,"779,870 ","779,870 ",-,"863,318 ","825,245 ",-,"970,170 ","891,620 ",-,"1,061,522 ","947,834 ",-
,"예술,스포츠및여가관련서비스업","120,042 ","136,972 ",-,"165,941 ","190,512 ",-,"175,230 ","210,029 ",-,"213,308 ","241,398 ",-,"244,620 ","252,643 ",-,"281,610 ","281,610 ",-,"332,443 ","328,988 ",-,"362,609 ","346,821 ",-,"430,167 ","404,709 ",-
,기타서비스업,"388,352 ","462,987 ",-,"484,826 ","573,430 ",-,"484,974 ","567,789 ",-,"557,889 ","645,225 ",-,"629,954 ","653,190 ",-,"709,531 ","709,531 ",-,"766,132 ","756,502 ",-,"826,368 ","792,849 ",-,"865,999 ","810,427 ",-
전라북도,지역내총생산(시장가격),"19,298,616 ","21,772,991 ",84.9 ,"20,460,723 ","22,267,828 ",87.0 ,"21,908,275 ","23,079,665 ",90.5 ,"22,889,590 ","24,245,359 ",95.0 ,"24,548,106 ","24,764,793 ",97.8 ,"25,221,161 ","25,221,161 ",100.0 ,"26,488,000 ","26,366,427 ",104.5 ,"28,586,477 ","27,850,680 ",110.4 ,"29,471,304 ","28,227,298 ",111.6 
,순생산물세,"1,817,460 ","1,887,678 ",-,"1,923,520 ","1,899,123 ",-,"2,197,567 ","2,172,129 ",-,"2,141,806 ","2,145,264 ",-,"2,167,890 ","2,105,516 ",-,"2,051,672 ","2,051,672 ",-,"2,158,426 ","2,138,742 ",-,"2,605,039 ","2,558,702 ",-,"2,295,143 ","2,199,052 ",-
,총부가가치(기초가격),"17,481,156 ","19,885,313 ",-,"18,537,203 ","20,368,705 ",-,"19,710,708 ","20,907,536 ",-,"20,747,784 ","22,100,095 ",-,"22,380,216 ","22,659,277 ",-,"23,169,489 ","23,169,489 ",-,"24,329,574 ","24,227,685 ",-,"25,981,438 ","25,291,978 ",-,"27,176,161 ","26,028,246 ",-
,농림어업,"2,475,549 ","2,443,119 ",-,"2,619,625 ","2,523,581 ",-,"2,378,475 ","2,358,170 ",-,"2,377,281 ","2,386,023 ",-,"2,893,203 ","2,698,661 ",-,"2,559,799 ","2,559,799 ",-,"2,544,700 ","2,649,154 ",-,"2,624,637 ","2,737,652 ",-,"2,481,828 ","2,952,437 ",-
,광업,"64,012 ","72,671 ",-,"62,468 ","73,227 ",-,"54,096 ","65,606 ",-,"31,869 ","54,842 ",-,"52,253 ","48,251 ",-,"62,092 ","62,092 ",-,"72,219 ","76,146 ",-,"79,892 ","77,884 ",-,"74,528 ","58,850 ",-
,제조업,"4,196,516 ","4,329,204 ",-,"3,938,016 ","4,146,077 ",-,"4,370,625 ","4,252,426 ",-,"4,171,251 ","4,681,463 ",-,"5,015,245 ","5,091,486 ",-,"5,283,221 ","5,283,221 ",-,"5,480,026 ","5,583,296 ",-,"5,986,316 ","5,960,479 ",-,"6,346,586 ","5,991,735 ",-
,　기초소재형,"1,701,753 ","1,977,136 ",-,"1,802,137 ","1,977,644 ",-,"2,097,250 ","2,021,171 ",-,"1,864,840 ","2,178,841 ",-,"2,102,520 ","2,213,045 ",-,"2,234,888 ","2,234,888 ",-,"2,250,885 ","2,414,211 ",-,"2,417,811 ","2,417,003 ",-,"2,932,927 ","2,581,391 ",-
,　가공조립형,"1,495,829 ","1,407,208 ",-,"1,280,937 ","1,198,685 ",-,"1,338,113 ","1,320,350 ",-,"1,348,164 ","1,462,489 ",-,"1,622,213 ","1,772,363 ",-,"1,856,313 ","1,856,313 ",-,"1,966,176 ","2,022,385 ",-,"2,341,456 ","2,188,356 ",-,"2,215,483 ","2,061,527 ",-
,　생활관련형,"998,934 ","944,860 ",-,"854,942 ","969,748 ",-,"935,262 ","910,905 ",-,"958,247 ","1,040,133 ",-,"1,290,512 ","1,106,078 ",-,"1,192,020 ","1,192,020 ",-,"1,262,965 ","1,146,700 ",-,"1,227,049 ","1,355,120 ",-,"1,198,176 ","1,348,817 ",-
,"전기,가스,증기및수도사업","293,949 ","300,369 ",-,"354,088 ","338,429 ",-,"336,224 ","324,412 ",-,"436,696 ","416,604 ",-,"425,922 ","419,008 ",-,"418,503 ","418,503 ",-,"418,518 ","408,468 ",-,"403,356 ","385,344 ",-,"344,057 ","409,202 ",-
,건설업,"1,615,616 ","2,037,348 ",-,"1,777,603 ","2,186,188 ",-,"1,705,712 ","1,954,550 ",-,"2,047,393 ","2,164,468 ",-,"1,894,614 ","1,930,102 ",-,"2,128,897 ","2,128,897 ",-,"2,444,208 ","2,408,036 ",-,"2,512,955 ","2,398,786 ",-,"2,676,727 ","2,504,847 ",-
,도매및소매업,"1,108,523 ","1,323,813 ",-,"1,251,335 ","1,437,374 ",-,"1,337,227 ","1,525,405 ",-,"1,505,910 ","1,624,773 ",-,"1,500,826 ","1,522,385 ",-,"1,611,587 ","1,611,587 ",-,"1,698,211 ","1,678,835 ",-,"1,795,703 ","1,755,148 ",-,"1,940,170 ","1,772,026 ",-
