,,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 통계표ID :,DT_1C51,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 통계표명 :,경제활동별 지역내총생산,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 수록기간 :, ( 년 : 1985 ~ 2009 ),,,,,,,,,,,,,,,,,,,,,,,,,,,
* 조회기간 :,   [년] 2000 ~ 2008         ,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 출처 :,통계청 경제통계국 지역소득통계팀,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 자료다운일자 :,2011/06/24 09:20:29,,,,,,,,,,,,,,,,,,,,,,,,,,,
* 단위 :,백만원,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
시도별,경제활동별,2000 ,,,2001 ,,,2002 ,,,2003 ,,,2004 ,,,2005 ,,,2006 ,,,2007 ,,,2008 ,,
,,당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100),당해년가격,2005년 기준년가격,연쇄지수(2005=100)
서울특별시,지역내총생산(시장가격),"151,355,934 ","182,152,093 ",85.6 ,"163,934,083 ","187,132,591 ",88.5 ,"184,558,188 ","201,579,998 ",95.6 ,"194,891,940 ","203,729,418 ",96.8 ,"198,925,587 ","204,893,955 ",97.8 ,"208,899,249 ","208,899,249 ",100.0 ,"220,134,606 ","217,964,649 ",104.3 ,"236,516,741 ","227,495,134 ",108.9 ,"248,383,240 ","234,084,208 ",112.2 
,순생산물세,"13,756,950 ","15,448,785 ",-,"14,209,878 ","14,782,369 ",-,"17,792,163 ","18,063,836 ",-,"18,979,000 ","18,890,398 ",-,"17,423,374 ","17,167,575 ",-,"19,489,804 ","19,489,804 ",-,"20,506,237 ","20,304,209 ",-,"22,683,008 ","22,295,917 ",-,"23,958,537 ","23,443,687 ",-
,총부가가치(기초가격),"137,598,984 ","166,703,308 ",-,"149,724,205 ","172,350,222 ",-,"166,766,025 ","183,516,162 ",-,"175,912,940 ","184,839,020 ",-,"181,502,213 ","187,726,380 ",-,"189,409,445 ","189,409,445 ",-,"199,628,369 ","197,660,440 ",-,"213,833,733 ","205,199,217 ",-,"224,424,703 ","210,640,521 ",-
,농림어업,"466,255 ","524,989 ",-,"364,425 ","420,931 ",-,"293,039 ","302,627 ",-,"324,207 ","328,531 ",-,"274,896 ","252,051 ",-,"324,184 ","324,184 ",-,"334,973 ","356,360 ",-,"332,814 ","362,776 ",-,"443,300 ","439,362 ",-
,광업,"18,926 ","33,241 ",-,"17,624 ","28,344 ",-,"30,841 ","32,144 ",-,"19,468 ","26,709 ",-,"20,299 ","29,623 ",-,"34,550 ","34,550 ",-,"33,835 ","37,599 ",-,"28,115 ","27,750 ",-,"31,245 ","28,105 ",-
,제조업,"8,333,461 ","11,679,133 ",-,"8,695,210 ","11,236,666 ",-,"9,473,927 ","11,528,812 ",-,"9,966,350 ","11,709,057 ",-,"9,950,127 ","11,675,029 ",-,"10,549,005 ","10,549,005 ",-,"10,575,194 ","11,536,457 ",-,"10,870,001 ","11,675,342 ",-,"10,259,621 ","10,872,115 ",-
,　기초소재형,"1,174,733 ","1,530,564 ",-,"1,359,398 ","1,609,537 ",-,"1,658,841 ","1,773,239 ",-,"1,641,224 ","1,839,787 ",-,"1,732,429 ","1,767,179 ",-,"1,520,490 ","1,520,490 ",-,"1,441,865 ","1,572,805 ",-,"1,365,200 ","1,432,050 ",-,"1,327,183 ","1,280,430 ",-
,　가공조립형,"2,720,986 ","3,883,954 ",-,"2,939,843 ","3,565,261 ",-,"3,023,876 ","3,805,580 ",-,"3,348,192 ","3,900,502 ",-,"3,026,475 ","3,939,493 ",-,"3,245,330 ","3,245,330 ",-,"3,306,282 ","3,780,095 ",-,"3,435,988 ","4,069,919 ",-,"3,272,562 ","3,246,320 ",-
,　생활관련형,"4,437,742 ","6,264,615 ",-,"4,395,969 ","6,061,868 ",-,"4,791,210 ","5,949,993 ",-,"4,976,934 ","5,968,768 ",-,"5,191,223 ","5,968,357 ",-,"5,783,185 ","5,783,185 ",-,"5,827,047 ","6,183,557 ",-,"6,068,813 ","6,173,373 ",-,"5,659,876 ","6,345,365 ",-
,"전기,가스,증기및수도사업","1,742,539 ","1,749,725 ",-,"2,009,081 ","1,824,463 ",-,"2,018,149 ","1,888,121 ",-,"1,922,668 ","1,762,333 ",-,"1,923,676 ","1,806,982 ",-,"1,853,429 ","1,853,429 ",-,"1,953,003 ","1,887,292 ",-,"2,041,833 ","1,946,802 ",-,"917,356 ","1,721,469 ",-
